epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,123.099,0.68534,0.91218,1.08124,0.85295,0.47726,0.67715,0.41468,0.39248,1.72196,1.91872,1.45479,2.75753e-05,2.75753e-05,2.75753e-05
67,125.135,0.73682,1.10939,1.10169,0.85295,0.47726,0.67715,0.41468,0.39248,1.72196,1.91872,1.45479,2.7222e-05,2.7222e-05,2.7222e-05
68,127.285,1.04498,1.76965,1.40746,0.85295,0.47726,0.67715,0.41468,0.39248,1.72196,1.91872,1.45479,2.68451e-05,2.68451e-05,2.68451e-05
69,129.364,0.63848,1.09726,1.12349,0.84269,0.48533,0.55417,0.25216,0.273,1.67175,1.96112,1.42495,2.64447e-05,2.64447e-05,2.64447e-05
70,131.413,0.98209,0.86721,1.43086,0.84269,0.48533,0.55417,0.25216,0.273,1.67175,1.96112,1.42495,2.60207e-05,2.60207e-05,2.60207e-05
71,133.373,0.94439,1.27805,1.31379,0.84269,0.48533,0.55417,0.25216,0.273,1.67175,1.96112,1.42495,2.55731e-05,2.55731e-05,2.55731e-05
72,135.488,0.59491,0.6376,1.07471,0.84104,0.48482,0.54199,0.2483,0.2709,1.7442,2.00884,1.4547,2.5102e-05,2.5102e-05,2.5102e-05
73,137.503,0.68438,0.90456,1.04356,0.84104,0.48482,0.54199,0.2483,0.2709,1.7442,2.00884,1.4547,2.46073e-05,2.46073e-05,2.46073e-05
74,139.463,0.73,0.60003,1.21964,0.84104,0.48482,0.54199,0.2483,0.2709,1.7442,2.00884,1.4547,2.40891e-05,2.40891e-05,2.40891e-05
75,141.544,0.72965,0.55237,1.14054,0.83553,0.48934,0.54999,0.24832,0.27036,1.80418,2.00879,1.47852,2.35472e-05,2.35472e-05,2.35472e-05
76,143.445,0.63486,0.73259,1.12868,0.83553,0.48934,0.54999,0.24832,0.27036,1.80418,2.00879,1.47852,2.29819e-05,2.29819e-05,2.29819e-05
77,145.319,0.68184,0.6579,1.11209,0.83553,0.48934,0.54999,0.24832,0.27036,1.80418,2.00879,1.47852,2.23929e-05,2.23929e-05,2.23929e-05
78,147.343,0.87916,1.01251,1.18705,0.83414,0.48743,0.54433,0.24812,0.26761,1.76343,2.03412,1.45925,2.17805e-05,2.17805e-05,2.17805e-05
79,149.577,0.60044,0.78245,1.09849,0.83414,0.48743,0.54433,0.24812,0.26761,1.76343,2.03412,1.45925,2.11444e-05,2.11444e-05,2.11444e-05
80,151.766,0.70238,0.73226,1.16215,0.83414,0.48743,0.54433,0.24812,0.26761,1.76343,2.03412,1.45925,2.04848e-05,2.04848e-05,2.04848e-05
81,154.061,0.51478,0.50426,0.97504,0.83788,0.48683,0.53445,0.24638,0.25852,1.80283,2.07465,1.48825,1.98016e-05,1.98016e-05,1.98016e-05
82,156.275,0.80864,0.67283,1.14334,0.83788,0.48683,0.53445,0.24638,0.25852,1.80283,2.07465,1.48825,1.90949e-05,1.90949e-05,1.90949e-05
83,158.54,0.75178,0.8173,1.17895,0.83788,0.48683,0.53445,0.24638,0.25852,1.80283,2.07465,1.48825,1.83646e-05,1.83646e-05,1.83646e-05
84,160.871,0.78313,0.56645,1.20408,0.84185,0.48289,0.53682,0.2474,0.26511,1.84307,2.10121,1.51302,1.76107e-05,1.76107e-05,1.76107e-05
85,162.708,0.57155,0.74602,1.11264,0.84185,0.48289,0.53682,0.2474,0.26511,1.84307,2.10121,1.51302,1.68333e-05,1.68333e-05,1.68333e-05
86,164.559,0.7388,0.67336,1.10116,0.84185,0.48289,0.53682,0.2474,0.26511,1.84307,2.10121,1.51302,1.60323e-05,1.60323e-05,1.60323e-05
87,166.518,0.75816,0.80126,1.05548,0.84185,0.48289,0.53682,0.2474,0.26511,1.84307,2.10121,1.51302,1.52077e-05,1.52077e-05,1.52077e-05
88,168.575,0.79777,0.87748,1.38294,0.84008,0.48273,0.53433,0.24727,0.26423,1.85465,2.10659,1.51302,1.43596e-05,1.43596e-05,1.43596e-05
89,170.559,0.99987,0.93401,1.48385,0.84008,0.48273,0.53433,0.24727,0.26423,1.85465,2.10659,1.51302,1.34879e-05,1.34879e-05,1.34879e-05
90,172.701,0.65039,0.63844,1.01092,0.84008,0.48273,0.53433,0.24727,0.26423,1.85465,2.10659,1.51302,1.25927e-05,1.25927e-05,1.25927e-05
91,174.672,0.46093,0.51626,0.89158,0.84008,0.48273,0.53433,0.24727,0.26423,1.85465,2.10659,1.51302,1.16739e-05,1.16739e-05,1.16739e-05
92,176.749,0.71447,0.70213,0.99443,0.83655,0.48464,0.53404,0.26402,0.28824,1.86926,2.05632,1.50153,1.07315e-05,1.07315e-05,1.07315e-05
93,178.936,0.47659,0.45773,0.98553,0.83655,0.48464,0.53404,0.26402,0.28824,1.86926,2.05632,1.50153,9.76562e-06,9.76562e-06,9.76562e-06
94,180.987,0.5454,0.43458,0.88511,0.83655,0.48464,0.53404,0.26402,0.28824,1.86926,2.05632,1.50153,8.77613e-06,8.77613e-06,8.77613e-06
95,182.885,0.43142,0.45459,0.89783,0.83655,0.48464,0.53404,0.26402,0.28824,1.86926,2.05632,1.50153,7.76308e-06,7.76308e-06,7.76308e-06
96,184.825,0.43986,0.50482,0.96112,0.84187,0.46533,0.54917,0.27834,0.29427,1.77481,1.97864,1.4459,6.72648e-06,6.72648e-06,6.72648e-06
97,186.95,0.69415,0.60344,1.05745,0.84187,0.46533,0.54917,0.27834,0.29427,1.77481,1.97864,1.4459,5.6663e-06,5.6663e-06,5.6663e-06
98,188.934,0.51775,0.49048,0.91091,0.84187,0.46533,0.54917,0.27834,0.29427,1.77481,1.97864,1.4459,4.58257e-06,4.58257e-06,4.58257e-06
99,190.94,0.47686,0.46003,0.91023,0.84187,0.46533,0.54917,0.27834,0.29427,1.77481,1.97864,1.4459,3.47528e-06,3.47528e-06,3.47528e-06
100,192.921,0.56178,0.49866,1.00451,0.83144,0.46667,0.57933,0.31595,0.32017,1.70187,1.84504,1.417,2.34442e-06,2.34442e-06,2.34442e-06
